Card1,Card2,Card3,Card4,Card5,Payout,Payout_4,Payout_13,Payout_31,Payout_51,Increase
T,A,2,6,6,0,0,0,0,0,0
J,A,2,6,6,0,0,0,0,0,0
Q,A,2,6,6,0,0,0,0,0,0
K,A,2,6,6,0,0,0,0,0,0
A,2,2,6,6,0,0,0,0,0,0
2,2,2,6,6,13,0,1,0,0,1
3,2,2,6,6,0,0,0,0,0,0
4,2,2,6,6,0,0,0,0,0,0
5,2,2,6,6,0,0,0,0,0,0
6,2,2,6,6,0,0,0,0,0,0
7,2,2,6,6,4,1,0,0,0,1
8,2,2,6,6,4,1,0,0,0,1
9,2,2,6,6,4,1,0,0,0,1
T,2,2,6,6,0,0,0,0,0,0
J,2,2,6,6,0,0,0,0,0,0
Q,2,2,6,6,0,0,0,0,0,0
K,2,2,6,6,0,0,0,0,0,0
A,3,2,6,6,0,0,0,0,0,0
2,3,2,6,6,0,0,0,0,0,0
3,3,2,6,6,13,0,1,0,0,1
4,3,2,6,6,0,0,0,0,0,0
5,3,2,6,6,0,0,0,0,0,0
6,3,2,6,6,4,1,0,0,0,1
7,3,2,6,6,4,1,0,0,0,1
8,3,2,6,6,4,1,0,0,0,1
9,3,2,6,6,0,0,0,0,0,0
T,3,2,6,6,0,0,0,0,0,0
J,3,2,6,6,0,0,0,0,0,0
Q,3,2,6,6,0,0,0,0,0,0
K,3,2,6,6,0,0,0,0,0,0
A,4,2,6,6,0,0,0,0,0,0
2,4,2,6,6,0,0,0,0,0,0
3,4,2,6,6,0,0,0,0,0,0
4,4,2,6,6,13,0,1,0,0,1
5,4,2,6,6,4,1,0,0,0,1
6,4,2,6,6,4,1,0,0,0,1
7,4,2,6,6,4,1,0,0,0,1
8,4,2,6,6,0,0,0,0,0,0
9,4,2,6,6,0,0,0,0,0,0
T,4,2,6,6,0,0,0,0,0,0
J,4,2,6,6,0,0,0,0,0,0
Q,4,2,6,6,0,0,0,0,0,0
K,4,2,6,6,0,0,0,0,0,0
A,5,2,6,6,0,0,0,0,0,0
2,5,2,6,6,0,0,0,0,0,0
3,5,2,6,6,0,0,0,0,0,0
4,5,2,6,6,4,1,0,0,0,1
5,5,2,6,6,13,0,1,0,0,1
6,5,2,6,6,4,1,0,0,0,1
7,5,2,6,6,0,0,0,0,0,0
8,5,2,6,6,0,0,0,0,0,0
9,5,2,6,6,0,0,0,0,0,0
T,5,2,6,6,0,0,0,0,0,0
J,5,2,6,6,0,0,0,0,0,0
Q,5,2,6,6,0,0,0,0,0,0
K,5,2,6,6,0,0,0,0,0,0
A,6,2,6,6,0,0,0,0,0,0
2,6,2,6,6,0,0,0,0,0,0
3,6,2,6,6,4,1,0,0,0,1
4,6,2,6,6,4,1,0,0,0,1
5,6,2,6,6,4,1,0,0,0,1
6,6,2,6,6,31,0,0,1,0,1
7,6,2,6,6,0,0,0,0,0,0
8,6,2,6,6,0,0,0,0,0,0
9,6,2,6,6,0,0,0,0,0,0
T,6,2,6,6,0,0,0,0,0,0
J,6,2,6,6,0,0,0,0,0,0
Q,6,2,6,6,0,0,0,0,0,0
K,6,2,6,6,0,0,0,0,0,0
A,7,2,6,6,0,0,0,0,0,0
2,7,2,6,6,4,1,0,0,0,1
3,7,2,6,6,4,1,0,0,0,1
4,7,2,6,6,4,1,0,0,0,1
5,7,2,6,6,0,0,0,0,0,0
6,7,2,6,6,0,0,0,0,0,0
7,7,2,6,6,13,0,1,0,0,1
8,7,2,6,6,0,0,0,0,0,0
9,7,2,6,6,0,0,0,0,0,0
T,7,2,6,6,0,0,0,0,0,0
J,7,2,6,6,0,0,0,0,0,0
Q,7,2,6,6,0,0,0,0,0,0
K,7,2,6,6,0,0,0,0,0,0
A,8,2,6,6,0,0,0,0,0,0
2,8,2,6,6,4,1,0,0,0,1
3,8,2,6,6,4,1,0,0,0,1
4,8,2,6,6,0,0,0,0,0,0
5,8,2,6,6,0,0,0,0,0,0
6,8,2,6,6,0,0,0,0,0,0
7,8,2,6,6,0,0,0,0,0,0
8,8,2,6,6,13,0,1,0,0,1
9,8,2,6,6,0,0,0,0,0,0
T,8,2,6,6,0,0,0,0,0,0
J,8,2,6,6,0,0,0,0,0,0
Q,8,2,6,6,0,0,0,0,0,0
K,8,2,6,6,0,0,0,0,0,0
A,9,2,6,6,0,0,0,0,0,0
2,9,2,6,6,4,1,0,0,0,1
3,9,2,6,6,0,0,0,0,0,0
4,9,2,6,6,0,0,0,0,0,0
5,9,2,6,6,0,0,0,0,0,0
6,9,2,6,6,0,0,0,0,0,0
7,9,2,6,6,0,0,0,0,0,0
8,9,2,6,6,0,0,0,0,0,0
9,9,2,6,6,13,0,1,0,0,1
T,9,2,6,6,0,0,0,0,0,0
J,9,2,6,6,0,0,0,0,0,0
Q,9,2,6,6,0,0,0,0,0,0
K,9,2,6,6,0,0,0,0,0,0
A,T,2,6,6,0,0,0,0,0,0
2,T,2,6,6,0,0,0,0,0,0
3,T,2,6,6,0,0,0,0,0,0
4,T,2,6,6,0,0,0,0,0,0
5,T,2,6,6,0,0,0,0,0,0
6,T,2,6,6,0,0,0,0,0,0
7,T,2,6,6,0,0,0,0,0,0
8,T,2,6,6,0,0,0,0,0,0
9,T,2,6,6,0,0,0,0,0,0
T,T,2,6,6,0,0,0,0,0,0
J,T,2,6,6,0,0,0,0,0,0
Q,T,2,6,6,0,0,0,0,0,0
K,T,2,6,6,0,0,0,0,0,0
A,J,2,6,6,0,0,0,0,0,0
2,J,2,6,6,0,0,0,0,0,0
3,J,2,6,6,0,0,0,0,0,0
4,J,2,6,6,0,0,0,0,0,0
5,J,2,6,6,0,0,0,0,0,0
6,J,2,6,6,0,0,0,0,0,0
7,J,2,6,6,0,0,0,0,0,0
8,J,2,6,6,0,0,0,0,0,0
9,J,2,6,6,0,0,0,0,0,0
T,J,2,6,6,0,0,0,0,0,0
J,J,2,6,6,0,0,0,0,0,0
Q,J,2,6,6,0,0,0,0,0,0
K,J,2,6,6,0,0,0,0,0,0
A,Q,2,6,6,0,0,0,0,0,0
2,Q,2,6,6,0,0,0,0,0,0
3,Q,2,6,6,0,0,0,0,0,0
4,Q,2,6,6,0,0,0,0,0,0
5,Q,2,6,6,0,0,0,0,0,0
6,Q,2,6,6,0,0,0,0,0,0
7,Q,2,6,6,0,0,0,0,0,0
8,Q,2,6,6,0,0,0,0,0,0
9,Q,2,6,6,0,0,0,0,0,0
T,Q,2,6,6,0,0,0,0,0,0
J,Q,2,6,6,0,0,0,0,0,0
Q,Q,2,6,6,0,0,0,0,0,0
K,Q,2,6,6,0,0,0,0,0,0
A,K,2,6,6,0,0,0,0,0,0
2,K,2,6,6,0,0,0,0,0,0
3,K,2,6,6,0,0,0,0,0,0
4,K,2,6,6,0,0,0,0,0,0
5,K,2,6,6,0,0,0,0,0,0
6,K,2,6,6,0,0,0,0,0,0
7,K,2,6,6,0,0,0,0,0,0
8,K,2,6,6,0,0,0,0,0,0
9,K,2,6,6,0,0,0,0,0,0
T,K,2,6,6,0,0,0,0,0,0
J,K,2,6,6,0,0,0,0,0,0
Q,K,2,6,6,0,0,0,0,0,0
K,K,2,6,6,0,0,0,0,0,0
A,A,3,6,6,4,1,0,0,0,1
2,A,3,6,6,0,0,0,0,0,0
3,A,3,6,6,0,0,0,0,0,0
4,A,3,6,6,0,0,0,0,0,0
5,A,3,6,6,0,0,0,0,0,0
6,A,3,6,6,0,0,0,0,0,0
7,A,3,6,6,0,0,0,0,0,0
8,A,3,6,6,0,0,0,0,0,0
9,A,3,6,6,0,0,0,0,0,0
T,A,3,6,6,0,0,0,0,0,0
J,A,3,6,6,0,0,0,0,0,0
Q,A,3,6,6,0,0,0,0,0,0
K,A,3,6,6,0,0,0,0,0,0
A,2,3,6,6,0,0,0,0,0,0
2,2,3,6,6,4,1,0,0,0,1
3,2,3,6,6,0,0,0,0,0,0
4,2,3,6,6,0,0,0,0,0,0
5,2,3,6,6,0,0,0,0,0,0
6,2,3,6,6,0,0,0,0,0,0
7,2,3,6,6,4,1,0,0,0,1
8,2,3,6,6,4,1,0,0,0,1
9,2,3,6,6,4,1,0,0,0,1
T,2,3,6,6,0,0,0,0,0,0
J,2,3,6,6,0,0,0,0,0,0
Q,2,3,6,6,0,0,0,0,0,0
K,2,3,6,6,0,0,0,0,0,0
A,3,3,6,6,0,0,0,0,0,0
2,3,3,6,6,0,0,0,0,0,0
3,3,3,6,6,51,0,0,0,1,1
4,3,3,6,6,0,0,0,0,0,0
5,3,3,6,6,0,0,0,0,0,0
6,3,3,6,6,4,1,0,0,0,1
7,3,3,6,6,4,1,0,0,0,1
8,3,3,6,6,4,1,0,0,0,1
9,3,3,6,6,0,0,0,0,0,0
T,3,3,6,6,0,0,0,0,0,0
J,3,3,6,6,0,0,0,0,0,0
Q,3,3,6,6,0,0,0,0,0,0
K,3,3,6,6,0,0,0,0,0,0
A,4,3,6,6,0,0,0,0,0,0
2,4,3,6,6,0,0,0,0,0,0
3,4,3,6,6,0,0,0,0,0,0
4,4,3,6,6,13,0,1,0,0,1
5,4,3,6,6,4,1,0,0,0,1
6,4,3,6,6,4,1,0,0,0,1
7,4,3,6,6,4,1,0,0,0,1
8,4,3,6,6,0,0,0,0,0,0
9,4,3,6,6,0,0,0,0,0,0
T,4,3,6,6,0,0,0,0,0,0
J,4,3,6,6,0,0,0,0,0,0
Q,4,3,6,6,0,0,0,0,0,0
K,4,3,6,6,0,0,0,0,0,0
A,5,3,6,6,0,0,0,0,0,0
2,5,3,6,6,0,0,0,0,0,0
3,5,3,6,6,0,0,0,0,0,0
4,5,3,6,6,4,1,0,0,0,1
5,5,3,6,6,13,0,1,0,0,1
6,5,3,6,6,4,1,0,0,0,1
7,5,3,6,6,0,0,0,0,0,0
8,5,3,6,6,0,0,0,0,0,0
9,5,3,6,6,0,0,0,0,0,0
T,5,3,6,6,0,0,0,0,0,0
J,5,3,6,6,0,0,0,0,0,0
Q,5,3,6,6,0,0,0,0,0,0
K,5,3,6,6,0,0,0,0,0,0
A,6,3,6,6,0,0,0,0,0,0
2,6,3,6,6,0,0,0,0,0,0
3,6,3,6,6,4,1,0,0,0,1
4,6,3,6,6,4,1,0,0,0,1
5,6,3,6,6,4,1,0,0,0,1
6,6,3,6,6,51,0,0,0,1,1
7,6,3,6,6,0,0,0,0,0,0
8,6,3,6,6,0,0,0,0,0,0
9,6,3,6,6,0,0,0,0,0,0
T,6,3,6,6,0,0,0,0,0,0
J,6,3,6,6,0,0,0,0,0,0
Q,6,3,6,6,0,0,0,0,0,0
K,6,3,6,6,0,0,0,0,0,0
A,7,3,6,6,0,0,0,0,0,0
2,7,3,6,6,4,1,0,0,0,1
3,7,3,6,6,4,1,0,0,0,1
4,7,3,6,6,4,1,0,0,0,1
5,7,3,6,6,0,0,0,0,0,0
6,7,3,6,6,0,0,0,0,0,0
7,7,3,6,6,13,0,1,0,0,1
8,7,3,6,6,0,0,0,0,0,0
9,7,3,6,6,0,0,0,0,0,0
T,7,3,6,6,0,0,0,0,0,0
J,7,3,6,6,0,0,0,0,0,0
Q,7,3,6,6,0,0,0,0,0,0
K,7,3,6,6,0,0,0,0,0,0
A,8,3,6,6,0,0,0,0,0,0
2,8,3,6,6,4,1,0,0,0,1
3,8,3,6,6,4,1,0,0,0,1
4,8,3,6,6,0,0,0,0,0,0
5,8,3,6,6,0,0,0,0,0,0
6,8,3,6,6,0,0,0,0,0,0
7,8,3,6,6,0,0,0,0,0,0
8,8,3,6,6,13,0,1,0,0,1
9,8,3,6,6,0,0,0,0,0,0
T,8,3,6,6,0,0,0,0,0,0
J,8,3,6,6,0,0,0,0,0,0
Q,8,3,6,6,0,0,0,0,0,0
K,8,3,6,6,0,0,0,0,0,0
A,9,3,6,6,0,0,0,0,0,0
2,9,3,6,6,4,1,0,0,0,1
3,9,3,6,6,0,0,0,0,0,0
4,9,3,6,6,0,0,0,0,0,0
5,9,3,6,6,0,0,0,0,0,0
6,9,3,6,6,0,0,0,0,0,0
7,9,3,6,6,0,0,0,0,0,0
8,9,3,6,6,0,0,0,0,0,0
9,9,3,6,6,4,1,0,0,0,1
T,9,3,6,6,0,0,0,0,0,0
J,9,3,6,6,0,0,0,0,0,0
Q,9,3,6,6,0,0,0,0,0,0
K,9,3,6,6,0,0,0,0,0,0
A,T,3,6,6,0,0,0,0,0,0
2,T,3,6,6,0,0,0,0,0,0
3,T,3,6,6,0,0,0,0,0,0
4,T,3,6,6,0,0,0,0,0,0
5,T,3,6,6,0,0,0,0,0,0
6,T,3,6,6,0,0,0,0,0,0
7,T,3,6,6,0,0,0,0,0,0
8,T,3,6,6,0,0,0,0,0,0
9,T,3,6,6,0,0,0,0,0,0
T,T,3,6,6,0,0,0,0,0,0
J,T,3,6,6,0,0,0,0,0,0
Q,T,3,6,6,0,0,0,0,0,0
K,T,3,6,6,0,0,0,0,0,0
A,J,3,6,6,0,0,0,0,0,0
2,J,3,6,6,0,0,0,0,0,0
3,J,3,6,6,0,0,0,0,0,0
4,J,3,6,6,0,0,0,0,0,0
5,J,3,6,6,0,0,0,0,0,0
6,J,3,6,6,0,0,0,0,0,0
7,J,3,6,6,0,0,0,0,0,0
8,J,3,6,6,0,0,0,0,0,0
9,J,3,6,6,0,0,0,0,0,0
T,J,3,6,6,0,0,0,0,0,0
J,J,3,6,6,0,0,0,0,0,0
Q,J,3,6,6,0,0,0,0,0,0
K,J,3,6,6,0,0,0,0,0,0
A,Q,3,6,6,0,0,0,0,0,0
2,Q,3,6,6,0,0,0,0,0,0
3,Q,3,6,6,0,0,0,0,0,0
4,Q,3,6,6,0,0,0,0,0,0
5,Q,3,6,6,0,0,0,0,0,0
6,Q,3,6,6,0,0,0,0,0,0
7,Q,3,6,6,0,0,0,0,0,0
8,Q,3,6,6,0,0,0,0,0,0
9,Q,3,6,6,0,0,0,0,0,0
T,Q,3,6,6,0,0,0,0,0,0
J,Q,3,6,6,0,0,0,0,0,0
Q,Q,3,6,6,0,0,0,0,0,0
K,Q,3,6,6,0,0,0,0,0,0
A,K,3,6,6,0,0,0,0,0,0
2,K,3,6,6,0,0,0,0,0,0
3,K,3,6,6,0,0,0,0,0,0
4,K,3,6,6,0,0,0,0,0,0
5,K,3,6,6,0,0,0,0,0,0
6,K,3,6,6,0,0,0,0,0,0
7,K,3,6,6,0,0,0,0,0,0
8,K,3,6,6,0,0,0,0,0,0
9,K,3,6,6,0,0,0,0,0,0
T,K,3,6,6,0,0,0,0,0,0
J,K,3,6,6,0,0,0,0,0,0
Q,K,3,6,6,0,0,0,0,0,0
K,K,3,6,6,0,0,0,0,0,0
A,A,4,6,6,4,1,0,0,0,1
2,A,4,6,6,0,0,0,0,0,0
3,A,4,6,6,0,0,0,0,0,0
4,A,4,6,6,0,0,0,0,0,0
5,A,4,6,6,0,0,0,0,0,0
6,A,4,6,6,0,0,0,0,0,0
7,A,4,6,6,0,0,0,0,0,0
8,A,4,6,6,0,0,0,0,0,0
9,A,4,6,6,0,0,0,0,0,0
T,A,4,6,6,0,0,0,0,0,0
J,A,4,6,6,0,0,0,0,0,0
Q,A,4,6,6,0,0,0,0,0,0
K,A,4,6,6,0,0,0,0,0,0
A,2,4,6,6,0,0,0,0,0,0
2,2,4,6,6,4,1,0,0,0,1
3,2,4,6,6,0,0,0,0,0,0
4,2,4,6,6,0,0,0,0,0,0
5,2,4,6,6,0,0,0,0,0,0
6,2,4,6,6,0,0,0,0,0,0
7,2,4,6,6,4,1,0,0,0,1
8,2,4,6,6,4,1,0,0,0,1
9,2,4,6,6,4,1,0,0,0,1
T,2,4,6,6,0,0,0,0,0,0
J,2,4,6,6,0,0,0,0,0,0
Q,2,4,6,6,0,0,0,0,0,0
K,2,4,6,6,0,0,0,0,0,0
A,3,4,6,6,0,0,0,0,0,0
2,3,4,6,6,0,0,0,0,0,0
3,3,4,6,6,13,0,1,0,0,1
4,3,4,6,6,0,0,0,0,0,0
5,3,4,6,6,0,0,0,0,0,0
6,3,4,6,6,4,1,0,0,0,1
7,3,4,6,6,4,1,0,0,0,1
8,3,4,6,6,4,1,0,0,0,1
9,3,4,6,6,0,0,0,0,0,0
T,3,4,6,6,0,0,0,0,0,0
J,3,4,6,6,0,0,0,0,0,0
Q,3,4,6,6,0,0,0,0,0,0
K,3,4,6,6,0,0,0,0,0,0
A,4,4,6,6,0,0,0,0,0,0
2,4,4,6,6,0,0,0,0,0,0
3,4,4,6,6,0,0,0,0,0,0
4,4,4,6,6,51,0,0,0,1,1
5,4,4,6,6,4,1,0,0,0,1
6,4,4,6,6,4,1,0,0,0,1
7,4,4,6,6,4,1,0,0,0,1
8,4,4,6,6,0,0,0,0,0,0
9,4,4,6,6,0,0,0,0,0,0
T,4,4,6,6,0,0,0,0,0,0
J,4,4,6,6,0,0,0,0,0,0
Q,4,4,6,6,0,0,0,0,0,0
K,4,4,6,6,0,0,0,0,0,0
A,5,4,6,6,0,0,0,0,0,0
2,5,4,6,6,0,0,0,0,0,0
3,5,4,6,6,0,0,0,0,0,0
4,5,4,6,6,4,1,0,0,0,1
5,5,4,6,6,31,0,0,1,0,1
6,5,4,6,6,4,1,0,0,0,1
7,5,4,6,6,0,0,0,0,0,0
8,5,4,6,6,0,0,0,0,0,0
9,5,4,6,6,0,0,0,0,0,0
T,5,4,6,6,0,0,0,0,0,0
J,5,4,6,6,0,0,0,0,0,0
Q,5,4,6,6,0,0,0,0,0,0
K,5,4,6,6,0,0,0,0,0,0
A,6,4,6,6,0,0,0,0,0,0
2,6,4,6,6,0,0,0,0,0,0
3,6,4,6,6,4,1,0,0,0,1
4,6,4,6,6,4,1,0,0,0,1
5,6,4,6,6,4,1,0,0,0,1
6,6,4,6,6,51,0,0,0,1,1
7,6,4,6,6,0,0,0,0,0,0
8,6,4,6,6,0,0,0,0,0,0
9,6,4,6,6,0,0,0,0,0,0
T,6,4,6,6,0,0,0,0,0,0
J,6,4,6,6,0,0,0,0,0,0
Q,6,4,6,6,0,0,0,0,0,0
K,6,4,6,6,0,0,0,0,0,0
A,7,4,6,6,0,0,0,0,0,0
2,7,4,6,6,4,1,0,0,0,1
3,7,4,6,6,4,1,0,0,0,1
4,7,4,6,6,4,1,0,0,0,1
5,7,4,6,6,0,0,0,0,0,0
6,7,4,6,6,0,0,0,0,0,0
7,7,4,6,6,13,0,1,0,0,1
8,7,4,6,6,0,0,0,0,0,0
9,7,4,6,6,0,0,0,0,0,0
T,7,4,6,6,0,0,0,0,0,0
J,7,4,6,6,0,0,0,0,0,0
Q,7,4,6,6,0,0,0,0,0,0
K,7,4,6,6,0,0,0,0,0,0
A,8,4,6,6,0,0,0,0,0,0
2,8,4,6,6,4,1,0,0,0,1
3,8,4,6,6,4,1,0,0,0,1
4,8,4,6,6,0,0,0,0,0,0
5,8,4,6,6,0,0,0,0,0,0
6,8,4,6,6,0,0,0,0,0,0
7,8,4,6,6,0,0,0,0,0,0
8,8,4,6,6,4,1,0,0,0,1
9,8,4,6,6,0,0,0,0,0,0
T,8,4,6,6,0,0,0,0,0,0
J,8,4,6,6,0,0,0,0,0,0
Q,8,4,6,6,0,0,0,0,0,0
K,8,4,6,6,0,0,0,0,0,0
A,9,4,6,6,0,0,0,0,0,0
2,9,4,6,6,4,1,0,0,0,1
3,9,4,6,6,0,0,0,0,0,0
4,9,4,6,6,0,0,0,0,0,0
5,9,4,6,6,0,0,0,0,0,0
6,9,4,6,6,0,0,0,0,0,0
7,9,4,6,6,0,0,0,0,0,0
8,9,4,6,6,0,0,0,0,0,0
9,9,4,6,6,4,1,0,0,0,1
T,9,4,6,6,0,0,0,0,0,0
J,9,4,6,6,0,0,0,0,0,0
Q,9,4,6,6,0,0,0,0,0,0
K,9,4,6,6,0,0,0,0,0,0
A,T,4,6,6,0,0,0,0,0,0
2,T,4,6,6,0,0,0,0,0,0
3,T,4,6,6,0,0,0,0,0,0
4,T,4,6,6,0,0,0,0,0,0
5,T,4,6,6,0,0,0,0,0,0
6,T,4,6,6,0,0,0,0,0,0
7,T,4,6,6,0,0,0,0,0,0
8,T,4,6,6,0,0,0,0,0,0
9,T,4,6,6,0,0,0,0,0,0
T,T,4,6,6,0,0,0,0,0,0
J,T,4,6,6,0,0,0,0,0,0
Q,T,4,6,6,0,0,0,0,0,0
K,T,4,6,6,0,0,0,0,0,0
A,J,4,6,6,0,0,0,0,0,0
2,J,4,6,6,0,0,0,0,0,0
3,J,4,6,6,0,0,0,0,0,0
4,J,4,6,6,0,0,0,0,0,0
5,J,4,6,6,0,0,0,0,0,0
6,J,4,6,6,0,0,0,0,0,0
7,J,4,6,6,0,0,0,0,0,0
8,J,4,6,6,0,0,0,0,0,0
9,J,4,6,6,0,0,0,0,0,0
T,J,4,6,6,0,0,0,0,0,0
J,J,4,6,6,0,0,0,0,0,0
Q,J,4,6,6,0,0,0,0,0,0
K,J,4,6,6,0,0,0,0,0,0
A,Q,4,6,6,0,0,0,0,0,0
2,Q,4,6,6,0,0,0,0,0,0
3,Q,4,6,6,0,0,0,0,0,0
4,Q,4,6,6,0,0,0,0,0,0
5,Q,4,6,6,0,0,0,0,0,0
6,Q,4,6,6,0,0,0,0,0,0
7,Q,4,6,6,0,0,0,0,0,0
8,Q,4,6,6,0,0,0,0,0,0
9,Q,4,6,6,0,0,0,0,0,0
T,Q,4,6,6,0,0,0,0,0,0
J,Q,4,6,6,0,0,0,0,0,0
Q,Q,4,6,6,0,0,0,0,0,0
K,Q,4,6,6,0,0,0,0,0,0
A,K,4,6,6,0,0,0,0,0,0
2,K,4,6,6,0,0,0,0,0,0
3,K,4,6,6,0,0,0,0,0,0
4,K,4,6,6,0,0,0,0,0,0
5,K,4,6,6,0,0,0,0,0,0
6,K,4,6,6,0,0,0,0,0,0
7,K,4,6,6,0,0,0,0,0,0
8,K,4,6,6,0,0,0,0,0,0
9,K,4,6,6,0,0,0,0,0,0
T,K,4,6,6,0,0,0,0,0,0
J,K,4,6,6,0,0,0,0,0,0
Q,K,4,6,6,0,0,0,0,0,0
K,K,4,6,6,0,0,0,0,0,0
A,A,5,6,6,4,1,0,0,0,1
2,A,5,6,6,0,0,0,0,0,0
3,A,5,6,6,0,0,0,0,0,0
4,A,5,6,6,0,0,0,0,0,0
5,A,5,6,6,0,0,0,0,0,0
6,A,5,6,6,0,0,0,0,0,0
7,A,5,6,6,0,0,0,0,0,0
8,A,5,6,6,0,0,0,0,0,0
9,A,5,6,6,0,0,0,0,0,0
T,A,5,6,6,0,0,0,0,0,0
J,A,5,6,6,0,0,0,0,0,0
Q,A,5,6,6,0,0,0,0,0,0
K,A,5,6,6,0,0,0,0,0,0
A,2,5,6,6,0,0,0,0,0,0
2,2,5,6,6,4,1,0,0,0,1
3,2,5,6,6,0,0,0,0,0,0
4,2,5,6,6,0,0,0,0,0,0
5,2,5,6,6,0,0,0,0,0,0
6,2,5,6,6,0,0,0,0,0,0
7,2,5,6,6,4,1,0,0,0,1
8,2,5,6,6,4,1,0,0,0,1
9,2,5,6,6,4,1,0,0,0,1
T,2,5,6,6,0,0,0,0,0,0
J,2,5,6,6,0,0,0,0,0,0
Q,2,5,6,6,0,0,0,0,0,0
K,2,5,6,6,0,0,0,0,0,0
A,3,5,6,6,0,0,0,0,0,0
2,3,5,6,6,0,0,0,0,0,0
3,3,5,6,6,13,0,1,0,0,1
4,3,5,6,6,0,0,0,0,0,0
5,3,5,6,6,0,0,0,0,0,0
6,3,5,6,6,4,1,0,0,0,1
7,3,5,6,6,4,1,0,0,0,1
8,3,5,6,6,4,1,0,0,0,1
9,3,5,6,6,0,0,0,0,0,0
T,3,5,6,6,0,0,0,0,0,0
J,3,5,6,6,0,0,0,0,0,0
Q,3,5,6,6,0,0,0,0,0,0
K,3,5,6,6,0,0,0,0,0,0
A,4,5,6,6,0,0,0,0,0,0
2,4,5,6,6,0,0,0,0,0,0
3,4,5,6,6,0,0,0,0,0,0
4,4,5,6,6,31,0,0,1,0,1
5,4,5,6,6,4,1,0,0,0,1
6,4,5,6,6,4,1,0,0,0,1
7,4,5,6,6,4,1,0,0,0,1
8,4,5,6,6,0,0,0,0,0,0
9,4,5,6,6,0,0,0,0,0,0
T,4,5,6,6,0,0,0,0,0,0
J,4,5,6,6,0,0,0,0,0,0
Q,4,5,6,6,0,0,0,0,0,0
K,4,5,6,6,0,0,0,0,0,0
A,5,5,6,6,0,0,0,0,0,0
2,5,5,6,6,0,0,0,0,0,0
3,5,5,6,6,0,0,0,0,0,0
4,5,5,6,6,4,1,0,0,0,1
5,5,5,6,6,51,0,0,0,1,1
6,5,5,6,6,4,1,0,0,0,1
7,5,5,6,6,0,0,0,0,0,0
8,5,5,6,6,0,0,0,0,0,0
9,5,5,6,6,0,0,0,0,0,0
T,5,5,6,6,0,0,0,0,0,0
J,5,5,6,6,0,0,0,0,0,0
Q,5,5,6,6,0,0,0,0,0,0
K,5,5,6,6,0,0,0,0,0,0
A,6,5,6,6,0,0,0,0,0,0
2,6,5,6,6,0,0,0,0,0,0
3,6,5,6,6,4,1,0,0,0,1
4,6,5,6,6,4,1,0,0,0,1
5,6,5,6,6,4,1,0,0,0,1
6,6,5,6,6,51,0,0,0,1,1
7,6,5,6,6,0,0,0,0,0,0
8,6,5,6,6,0,0,0,0,0,0
9,6,5,6,6,0,0,0,0,0,0
T,6,5,6,6,0,0,0,0,0,0
J,6,5,6,6,0,0,0,0,0,0
Q,6,5,6,6,0,0,0,0,0,0
K,6,5,6,6,0,0,0,0,0,0
A,7,5,6,6,0,0,0,0,0,0
2,7,5,6,6,4,1,0,0,0,1
3,7,5,6,6,4,1,0,0,0,1
4,7,5,6,6,4,1,0,0,0,1
5,7,5,6,6,0,0,0,0,0,0
6,7,5,6,6,0,0,0,0,0,0
7,7,5,6,6,4,1,0,0,0,1
8,7,5,6,6,0,0,0,0,0,0
9,7,5,6,6,0,0,0,0,0,0
T,7,5,6,6,0,0,0,0,0,0
J,7,5,6,6,0,0,0,0,0,0
Q,7,5,6,6,0,0,0,0,0,0
K,7,5,6,6,0,0,0,0,0,0
A,8,5,6,6,0,0,0,0,0,0
2,8,5,6,6,4,1,0,0,0,1
3,8,5,6,6,4,1,0,0,0,1
4,8,5,6,6,0,0,0,0,0,0
5,8,5,6,6,0,0,0,0,0,0
6,8,5,6,6,0,0,0,0,0,0
7,8,5,6,6,0,0,0,0,0,0
8,8,5,6,6,4,1,0,0,0,1
9,8,5,6,6,0,0,0,0,0,0
T,8,5,6,6,0,0,0,0,0,0
J,8,5,6,6,0,0,0,0,0,0
Q,8,5,6,6,0,0,0,0,0,0
K,8,5,6,6,0,0,0,0,0,0
A,9,5,6,6,0,0,0,0,0,0
2,9,5,6,6,4,1,0,0,0,1
3,9,5,6,6,0,0,0,0,0,0
4,9,5,6,6,0,0,0,0,0,0
5,9,5,6,6,0,0,0,0,0,0
6,9,5,6,6,0,0,0,0,0,0
7,9,5,6,6,0,0,0,0,0,0
8,9,5,6,6,0,0,0,0,0,0
9,9,5,6,6,4,1,0,0,0,1
T,9,5,6,6,0,0,0,0,0,0
J,9,5,6,6,0,0,0,0,0,0
Q,9,5,6,6,0,0,0,0,0,0
K,9,5,6,6,0,0,0,0,0,0
A,T,5,6,6,0,0,0,0,0,0
2,T,5,6,6,0,0,0,0,0,0
3,T,5,6,6,0,0,0,0,0,0
4,T,5,6,6,0,0,0,0,0,0
5,T,5,6,6,0,0,0,0,0,0
6,T,5,6,6,0,0,0,0,0,0
7,T,5,6,6,0,0,0,0,0,0
8,T,5,6,6,0,0,0,0,0,0
9,T,5,6,6,0,0,0,0,0,0
T,T,5,6,6,0,0,0,0,0,0
J,T,5,6,6,0,0,0,0,0,0
Q,T,5,6,6,0,0,0,0,0,0
K,T,5,6,6,0,0,0,0,0,0
A,J,5,6,6,0,0,0,0,0,0
2,J,5,6,6,0,0,0,0,0,0
